praca,preco_vista,preco_30d,data
PA Redenção,326.5,330.00,2026-06-08
PA Paragominas,326.5,330.00,2026-06-08
RO Sudeste,326.5,330.00,2026-06-08
TO Sul,306.5,310.00,2026-06-08
TO Norte,311.5,315.00,2026-06-08
Acre,280.0,283.00,2026-06-08
ES,306.5,310.00,2026-06-08
RJ,313.5,317.00,2026-06-08
Roraima,311.5,315.00,2026-06-08
SP Barretos,328.5,332.00,2026-06-09
SP Araçatuba,328.5,332.00,2026-06-09
MG Triângulo,310.5,314.00,2026-06-09
MG B.Horizonte,301.5,305.00,2026-06-09
MG Norte,308.5,312.00,2026-06-09
MG Sul,301.5,305.00,2026-06-09
GO Goiânia,308.5,312.00,2026-06-09
GO Reg. Sul,311.5,315.00,2026-06-09
MS Dourados,326.5,330.00,2026-06-09
MS C. Grande,327.5,331.00,2026-06-09
MS Três Lagoas,326.5,330.00,2026-06-09
RS Oeste (kg),11.85,12.00,2026-06-09
RS Pelotas (kg),11.9,12.05,2026-06-09
BA Sul,289.0,292.00,2026-06-09
BA Oeste,299.0,302.00,2026-06-09
MT Norte,326.5,330.00,2026-06-09
MT Sudoeste,331.5,335.00,2026-06-09
MT Cuiabá*,331.5,335.00,2026-06-09
MT Sudeste,331.5,335.00,2026-06-09
PR Noroeste,328.5,332.00,2026-06-09
SC,326.5,330.00,2026-06-09
MA Oeste,311.5,315.00,2026-06-09
Alagoas,326.5,330.00,2026-06-09
PA Marabá,326.5,330.00,2026-06-09
PA Redenção,326.5,330.00,2026-06-09
PA Paragominas,326.5,330.00,2026-06-09
RO Sudeste,326.5,330.00,2026-06-09
TO Sul,306.5,310.00,2026-06-09
TO Norte,311.5,315.00,2026-06-09
Acre,280.0,283.00,2026-06-09
ES,306.5,310.00,2026-06-09
RJ,313.5,317.00,2026-06-09
Roraima,311.5,315.00,2026-06-09
SP Barretos,328.5,332.00,2026-06-10
SP Araçatuba,328.5,332.00,2026-06-10
MG Triângulo,310.5,314.00,2026-06-10
MG B.Horizonte,301.5,305.00,2026-06-10
MG Norte,308.5,312.00,2026-06-10
MG Sul,301.5,305.00,2026-06-10
GO Goiânia,311.5,315.00,2026-06-10
GO Reg. Sul,313.5,317.00,2026-06-10
MS Dourados,326.5,330.00,2026-06-10
MS C. Grande,327.5,331.00,2026-06-10
MS Três Lagoas,326.5,330.00,2026-06-10
RS Oeste (kg),11.75,11.90,2026-06-10
RS Pelotas (kg),11.9,12.05,2026-06-10
BA Sul,289.0,292.00,2026-06-10
BA Oeste,299.0,302.00,2026-06-10
MT Norte,326.5,330.00,2026-06-10
MT Sudoeste,331.5,335.00,2026-06-10
MT Cuiabá*,331.5,335.00,2026-06-10
MT Sudeste,331.5,335.00,2026-06-10
PR Noroeste,328.5,332.00,2026-06-10
SC,326.5,330.00,2026-06-10
MA Oeste,311.5,315.00,2026-06-10
Alagoas,326.5,330.00,2026-06-10
PA Marabá,326.5,330.00,2026-06-10
PA Redenção,326.5,330.00,2026-06-10
PA Paragominas,326.5,330.00,2026-06-10
RO Sudeste,326.5,330.00,2026-06-10
TO Sul,311.5,315.00,2026-06-10
TO Norte,316.5,320.00,2026-06-10
Acre,282.0,285.00,2026-06-10
ES,306.5,310.00,2026-06-10
RJ,313.5,317.00,2026-06-10
Roraima,311.5,315.00,2026-06-10
SP Barretos,328.5,332.00,2026-06-11
SP Araçatuba,328.5,332.00,2026-06-11
MG Triângulo,313.5,317.00,2026-06-11
MG B.Horizonte,306.5,310.00,2026-06-11
MG Norte,311.5,315.00,2026-06-11
MG Sul,306.5,310.00,2026-06-11
GO Goiânia,312.5,316.00,2026-06-11
GO Reg. Sul,313.5,317.00,2026-06-11
MS Dourados,326.5,330.00,2026-06-11
MS C. Grande,327.5,331.00,2026-06-11
MS Três Lagoas,326.5,330.00,2026-06-11
RS Oeste (kg),11.75,11.90,2026-06-11
RS Pelotas (kg),11.9,12.05,2026-06-11
BA Sul,289.0,292.00,2026-06-11
BA Oeste,299.0,302.00,2026-06-11
MT Norte,326.5,330.00,2026-06-11
MT Sudoeste,331.5,335.00,2026-06-11
MT Cuiabá*,331.5,335.00,2026-06-11
MT Sudeste,331.5,335.00,2026-06-11
PR Noroeste,328.5,332.00,2026-06-11
SC,326.5,330.00,2026-06-11
MA Oeste,311.5,315.00,2026-06-11
Alagoas,326.5,330.00,2026-06-11
PA Marabá,326.5,330.00,2026-06-11
PA Redenção,326.5,330.00,2026-06-11
PA Paragominas,326.5,330.00,2026-06-11
RO Sudeste,326.5,330.00,2026-06-11
TO Sul,311.5,315.00,2026-06-11
TO Norte,316.5,320.00,2026-06-11
Acre,287.0,290.00,2026-06-11
ES,306.5,310.00,2026-06-11
RJ,313.5,317.00,2026-06-11
Roraima,311.5,315.00,2026-06-11
SP Barretos,328.5,332.00,2026-06-12
SP Araçatuba,328.5,332.00,2026-06-12
MG Triângulo,313.5,317.00,2026-06-12
MG B.Horizonte,306.5,310.00,2026-06-12
MG Norte,311.5,315.00,2026-06-12
MG Sul,311.5,315.00,2026-06-12
GO Goiânia,312.5,316.00,2026-06-12
